movie_name,movie_code,actor_name,actor_code,open_date,audience
____________,20126674,______ _________,10056914,13.10.2,"2,711,071"
____________,20126674,_________,10001670,12.6.6,"2,636,320"
____________,20126674,_________ ___,10045066,11.3.31,"2,595,625"
____________,20126674,______,20187111,09.10.22,"2,583,294"
______,20126091,_________,10037018,06.2.23,"2,576,022"
______,20126091,_________,10057315,04.11.5,"2,565,078"
______,20126091,_________,10030351,14.12.24,"2,564,340"
______,20126091,_________,20121022,05.10.7,"2,533,103"
______,20126091,_________,20127912,04.10.8,"2,479,585"
______,20126091,_________,10006380,12.12.19,"2,475,797"
______,20126091,_________,20186076,05.8.11,"2,475,291"
______,20126091,_________,20185678,03.3.28,"2,472,135"
______,20126091,_________,20186015,12.3.8,"2,436,400"
______: _________ ___ ______,20136064,_________,10003788,12.8.22,"2,434,099"
______: _________ ___ ______,20136064,_________,10036883,05.11.23,"2,430,200"
______: _________ ___ ______,20136064,_________,10054128,13.10.9,"2,394,466"
______: _________ ___ ______,20136064,_________,10054755,11.9.29,"2,393,086"
______: _________ ___ ______,20136064,_________,10050151,11.9.7,"2,368,267"
______: _________ ___ ______,20136064,_________,10006120,11.8.10,"2,367,272"
______: _________ ___ ______,20136064,_________,20110935,06.4.26,"2,347,311"
______: _________ ___ ______,20136064,_________,10040580,04.8.12,"2,346,446"
______: _________ ___ ______,20136064,_________,20189746,05.12.21,"2,342,232"
______: _________ ___ ______,20136064,_________,10065609,03.6.27,"2,339,410"
______: _________ ___ ______,20136064,_________,10067494,08.11.13,"2,325,715"
______: _________ ___ ______,20136064,_________,10061861,10.12.29,"2,316,099"
______: _________ ___ ______,20136064,______,10035775,99.10.2,"2,310,000"
_________ ______,20131102,_________,10040874,10.5.13,"2,304,487"
_________ ______,20131102,_________,10006877,06.4.6,"2,286,745"
_________ ______,20131102,_________,10029093,05.5.4,"2,274,995"
_________ ______,20131102,_________,10035832,07.4.12,"2,259,511"
_________ ______,20131102,_________,10057628,03.10.24,"2,251,491"
_________ ______,20131102,_________,10006273,11.8.4,"2,242,510"
_________ ______,20131102,_________,20111869,09.4.30,"2,237,271"
____________,20090307,_________,10087253,03.7.11,"2,203,042"
____________,20090307,_________,10035832,11.7.28,"2,201,722"
____________,20090307,_________,10005816,04.6.3,"2,199,359"
____________,20090307,_________,10003967,05.4.28,"2,197,555"
____________,20090307,_________,10072674,15.5.14,"2,192,525"
____________,20090307,______,10040860,15.1.21,"2,192,172"
______,20070316,_________ _________,10032578,07.10.18,"2,190,250"
______,20070316,______ _________,10031001,04.7.22,"2,189,453"
_______________,20081672,_________,10071209,10.12.22,"2,167,426"
_______________,20081672,_________,10028667,10.11.10,"2,164,805"
_______________,20081672,_________,10051543,09.9.24,"2,160,265"
_______________,20081672,_________,10005792,11.12.21,"2,142,622"
_______________,20081672,_________,20146036,14.10.8,"2,141,155"
_______________,20081672,_________,10058806,04.4.15,"2,129,358"
_______________,20081672,_________,10003702,07.9.19,"2,123,815"
______ ___ _________,20050180,_________,10040665,07.11.14,"2,120,741"
______ ___ _________,20050180,_________,10067476,06.4.27,"2,104,716"
______ ___ _________,20050180,_________,10062184,13.5.16,"2,095,592"
______ ___ _________,20050180,_________,20129246,07.12.12,"2,088,134"
______ ___ _________,20050180,_________,20124103,10.12.1,"2,080,574"
______ ___ _________,20050180,_________,20162972,06.3.23,"2,066,354"
______ ___ _________,20050180,_________,20131769,08.7.31,"2,058,764"
______ ___ _________,20050180,_________,20144715,15.8.20,"2,051,167"
______ ___ _________,20050180,_________,20147778,04.4.30,"2,050,000"
______ ___ _________,20050180,_________,20148884,06.6.15,"2,047,808"
______ ___ _________,20050180,_________,20152506,04.8.13,"1,987,380"
______ ___ _________,20050180,_________,10072252,14.1.22,"1,979,311"
______ ___ _________,20050180,_________,20154388,04.5.5,"1,972,377"
____________ ___,20110302,_________,10029474,04.9.3,"1,932,304"
____________ ___,20110302,_________,10019065,09.9.9,"1,922,634"
____________ ___,20110302,_________,10004099,05.3.17,"1,914,941"
____________ ___,20110302,_________,10026825,09.4.2,"1,914,779"
____________ ___,20110302,_________,10058024,15.1.14,"1,891,993"
____________ ___,20110302,_________,10003647,11.1.20,"1,888,100"
____________ ___,20110302,_________,10054755,06.9.28,"1,879,501"
____________ ___,20110302,_________,10028507,10.9.9,"1,873,327"
______,20110193,_________,10001662,12.5.3,"1,872,681"
______,20110193,_________,10004201,11.2.17,"1,867,849"
______,20110193,_________,10004502,13.3.21,"1,865,195"
______,20110193,_________,10040874,06.2.16,"1,858,668"
______,20110193,_________,10070746,03.9.5,"1,858,077"
______,20110193,_________,10089894,13.12.11,"1,854,625"
______,20110193,_________,20111253,10.8.12,"1,848,418"
______,20110193,_________,20112878,07.2.8,"1,847,875"
______,20110193,_________,20112884,12.12.6,"1,831,725"
______,20110193,_________,20112885,06.2.9,"1,824,822"
______,20110193,_________,20112888,09.7.15,"1,799,356"
______,20110193,_________,20112889,04.2.20,"1,795,700"
______,20110193,_________,10065830,08.10.23,"1,788,748"
______,20110193,_________,20112886,03.8.1,"1,784,479"
______,20110193,_________,10028934,13.10.24,"1,766,285"
______,20110193,_________,10004866,14.10.2,"1,755,181"
______,20110193,_________,20133966,03.8.14,"1,748,258"
_________ ______,20070209,_________,10004396,06.10.19,"1,748,258"
_________ ______,20070209,_________,10043371,14.7.30,"1,748,258"
_________ ______,20070209,_________,10056792,14.12.17,"1,748,258"
_________ ______,20070209,_________,10057469,15.8.5,"1,748,258"
_________ ______,20070209,_________,20110935,06.7.27,"1,748,258"
_________ ______,20070209,_________,20136035,12.7.25,"1,748,258"
_________ ______,20070209,_________,20159293,13.1.23,"1,748,258"
_________ ______,20070209,_________,20165144,15.7.22,"1,748,258"
_________ ______,20070209,_________,20125683,12.9.13,"1,748,258"
_________ ______,20070209,_________,20130762,05.12.29,"1,748,258"
_________ ______,20070209,_________,20133677,04.2.5,"1,748,258"
_________ ______,20070209,_________,20133691,09.7.22,"1,748,258"
_________,20124083,_________,10087253,13.12.18,"1,748,258"
_________,20124083,_________,10087518,03.12.24,"1,748,258"
_________,20124083,_________,10019067,13.8.1,"1,748,258"
_________,20124083,_________,10061467,13.9.11,"1,744,677"
_________,20124083,_________,10054755,14.8.6,"1,744,677"
_________,20124083,_________,10072210,14.1.22,"1,744,677"
_________,20124083,_________,20127192,09.7.29,"1,744,677"
_________,20124083,_________,10004466,07.8.1,"1,744,677"
_________,20124083,_________,20169325,08.12.3,"1,744,677"
____________ ____________,20126672,_________,20125794,05.8.4,"1,744,677"
____________ ____________,20126672,_________,10028507,11.8.10,"1,744,677"
____________ ____________,20126672,_________,20111526,11.5.4,"1,744,677"
____________ ____________,20126672,_________,20111125,07.7.25,"1,744,677"
____________ ____________,20126672,_________,20110789,13.1.30,"1,744,677"
____________ ____________,20126672,_________,20127194,13.6.5,"1,744,677"
____________ ____________,20126672,_________,10001779,06.9.28,"1,744,677"
______,20060277,_________,10066380,08.7.17,"1,744,677"
______,20060277,_________,10006380,12.10.31,"1,743,821"
______,20060277,_________,10030351,06.12.14,"1,743,642"
______,20060277,_________,10054128,10.8.4,"1,743,464"
______,20060277,_________,10005276,09.12.23,"1,743,285"
______,20060277,_________,10004169,06.1.19,"1,743,107"
______,20060277,_________,10005374,15.6.24,"1,742,929"
______,20060277,_________,20111954,99.2.13,"1,742,750"
______,20060277,_________,20130825,05.9.7,"1,742,572"
______,20060277,_________,20135481,13.8.14,"1,742,393"
______,20060277,_________,10035595,13.7.31,"1,742,215"
______,20060277,_________,20148094,13.7.3,"1,742,036"
______,20060277,_________,20111479,10.2.4,"1,741,858"
______ ___ ______ ___ _________ ___,20072152,_________,10037018,11.10.20,"1,741,679"
______ ___ ______ ___ _________ ___,20072152,_________,10055626,03.4.25,"1,741,501"
______ ___ ______ ___ _________ ___,20072152,_________,10062025,12.12.25,"1,741,323"
______ ___ ______ ___ _________ ___,20072152,_________,10047357,05.1.27,"1,741,144"
______ ___ ______ ___ _________ ___,20072152,_________,20166424,08.2.14,"1,740,966"
______ ___ ______ ___ _________ ___,20072152,_________,10003626,15.9.16,"1,740,787"
______ ___ ______ ___ _________ ___,20072152,_________,10050151,03.2.7,"1,740,609"
______ ___ ______ ___ _________ ___,20072152,_________,10057730,12.8.8,"1,740,430"
______ ___ ______ ___ _________ ___,20072152,_________,10036828,14.11.27,"1,740,252"
______ ___ ______ ___ _________ ___,20072152,_________,20123086,11.1.27,"1,740,073"
______ ___ ______ ___ _________ ___,20072152,_________,20125010,14.7.23,"1,739,895"
______ ___ ______ ___ _________ ___,20072152,_________,20130946,12.2.2,"1,739,716"
______ ___ ______ ___ _________ ___,20072152,_________,10067479,13.2.21,"1,739,538"
______ ___ ______ ___ _________ ___,20072152,_________,20150541,11.9.22,"1,739,360"
____________,20124054,_________,10037229,12.5.17,"1,739,181"
____________,20124054,_________,10028667,12.7.5,"1,739,003"
____________,20124054,_________,10060331,08.6.19,"1,738,824"
____________,20124054,_________,20111976,13.12.24,"1,738,646"
_________ _________,20060387,_________,10004885,12.3.22,"1,738,467"
_________ _________,20060387,_________,10069182,05.12.14,"1,738,289"
_________ _________,20060387,_________,10006273,09.4.22,"1,738,110"
_________ _________,20060387,_________,20132407,02.12.11,"1,737,932"
_________ _________,20060387,_________,20150003,12.1.18,"1,737,753"
_________,20100214,______,10052465,08.1.10,"1,737,575"
_________,20100214,_________,10004452,14.9.3,"1,737,397"
_________,20100214,_________,20166713,05.1.27,"1,737,218"
_________,20100214,_________,10006155,13.1.9,"1,737,040"
_________,20100214,_________,20111894,06.7.13,"1,736,861"
_________,20100214,_________,10006545,15.2.11,"1,736,683"
_________,20100214,_________,20125466,14.4.30,"1,736,504"
_________,20100214,_________,20132965,08.12.30,"1,736,326"
_________,20100214,_________,20151661,08.9.4,"1,736,147"
_________,20100214,_________,10007481,05.7.29,"1,735,969"
_________,20100214,_________,20177940,14.7.3,"1,735,790"
_________,20100214,_________,20125461,03.10.2,"1,735,612"
_________,20090077,_________,10000558,06.9.21,"1,735,434"
_________,20090077,_________,10058646,12.1.18,"1,735,255"
_________,20090077,_________,10005276,14.5.29,"1,735,077"
_________,20090077,_________,10054128,13.9.5,"1,734,898"
_________,20090077,_________,10049852,10.7.14,"1,734,720"
_________,20090077,_________,10004844,10.6.16,"1,734,541"
_________,20090077,_________,20111954,03.11.21,"1,734,363"
_________,20090077,_________,10006497,04.4.2,"1,734,184"
_________,20090077,_________,20166451,03.9.4,"1,734,006"
_________,20090077,_________,20122287,03.6.13,"1,733,828"
_________,20090077,_________,20123765,07.2.1,"1,733,649"
_________,20090077,_________,20123804,06.9.14,"1,733,471"
_________,20090077,_________,20110534,11.7.20,"1,733,292"
_______________,20050363,_________,10062240,13.8.14,"1,733,114"
_______________,20050363,_________,10062050,04.1.16,"1,732,935"
_______________,20050363,_________,10004437,02.11.20,"1,732,757"
_______________,20050363,_________,10005374,05.3.10,"1,732,578"
_______________,20050363,_________,10058616,10.1.28,"1,732,400"
_______________,20050363,_________,20110884,09.6.11,"1,732,221"
_______________,20050363,_________,10072586,05.9.23,"1,732,043"
_______________,20050363,_________,20132478,15.3.25,"1,731,865"
_______________,20050363,_________,10007427,07.11.1,"1,731,686"
_______________,20050363,_________,20138644,10.6.2,"1,731,508"
_______________,20050363,_________,20148071,09.5.28,"1,731,329"
_______________,20050363,_________,20112208,11.12.1,"1,731,151"
_______________,20050363,_________,20151002,13.11.14,"1,730,972"
_______________,20050363,_________,20151363,12.11.29,"1,730,794"
_______________,20050363,_________,20152069,09.1.15,"1,730,615"
____________,20134798,_________,10004099,11.7.20,"1,730,437"
____________,20134798,______,10070417,10.12.22,"1,730,258"
____________,20134798,_________,20111526,04.9.17,"1,730,080"
____________,20134798,______,10056773,15.6.18,"1,729,902"
____________,20134798,_________,10057730,14.4.30,"1,729,723"
____________,20134798,_________,20210966,03.10.17,"1,729,545"
______,19990084,_________,10087518,10.10.28,"1,729,366"
______,19990084,_________,10090290,07.2.14,"1,729,188"
______,19990084,_________,10004487,10.9.16,"1,729,009"
______,19990084,_________,10072251,12.11.8,"1,728,831"
______,19990084,_________,10037018,13.10.2,"1,728,652"
______,19990084,_________,10005297,12.6.6,"1,728,474"
_________ ______(_________ ______2),20050219,_________,10040687,11.3.31,"1,728,295"
_________ ______(_________ ______2),20050219,_________,10004748,09.10.22,"1,728,117"
_________ ______(_________ ______2),20050219,_________,10005223,06.2.23,"1,727,939"
_________ ______(_________ ______2),20050219,_________,10072613,04.11.5,"1,727,760"
_________ ______(_________ ______2),20050219,_________,10006497,14.12.24,"1,727,582"
_________ ______(_________ ______2),20050219,_________,10058925,05.10.7,"1,727,403"
____________,20136049,_________,20111125,04.10.8,"1,727,225"
____________,20136049,_________,10026802,12.12.19,"1,727,046"
____________,20136049,_________,10061272,05.8.11,"1,726,868"
____________,20136049,_________,20182437,03.3.28,"1,726,689"
___ ______ _________,20136052,_________,10087253,12.3.8,"1,726,511"
___ ______ _________,20136052,_________,10054755,12.8.22,"1,726,333"
___ ______ _________,20136052,_________,20112423,05.11.23,"1,726,154"
___ ______ _________,20136052,_________,10055073,13.10.9,"1,725,976"
___ ______ _________,20136052,_________,20181887,11.9.29,"1,725,797"
____________,20122783,_________,10035772,11.9.7,"1,725,619"
____________,20122783,_________,10062025,11.8.10,"1,725,440"
____________,20122783,_________,10087820,06.4.26,"1,725,262"
____________,20122783,______,10070393,04.8.12,"1,725,083"
____________,20122783,_________,20067653,05.12.21,"1,724,905"
____________,20122783,_________,10058502,03.6.27,"1,724,726"
____________,20122783,_________,10036818,08.11.13,"1,724,548"
____________,20122783,_________,20146968,10.12.29,"1,724,370"
____________,20122783,_________,20179073,99.10.2,"1,724,191"
